ID;Name;Year;Authors;Tittle;Abstract;Country of affiliation;Journal;Open Access
ID037;Bundzel et al. 2020;2020;"Bundzel, Marek; Jascur, Miroslav; Kovac, Milan; Lieskovsky, Tibor; Sincak, Peter; Tkacik, Tomas";Semantic Segmentation of Airborne LiDAR Data in Maya Archaeology;Airborne LiDAR produced large amounts of data for archaeological research over the past decade. Labeling this type of archaeological data is a tedious process. We used a data set from Pacunam LiDAR Initiative survey of lowland Maya region in Guatemala. The data set contains ancient Maya structures that were manually labeled, and ground verified to a large extent. We have built and compared two deep learning-based models, U-Net and Mask R-CNN, for semantic segmentation. The segmentation models were used in two tasks: identification of areas of ancient construction activity, and identification of the remnants of ancient Maya buildings. The U-Net based model performed better in both tasks and was capable of correctly identifying 60-66% of all objects, and 74-81% of medium sized objects. The quality of the resulting prediction was evaluated using a variety of quantifiers. Furthermore, we discuss the problems of re-purposing the archaeological style labeling for production of valid machine learning training sets. Ultimately, we outline the value of these models for archaeological research and present the road map to produce a useful decision support system for recognition of ancient objects in LiDAR data.;SVK;Remote Sensing;Yes
ID038;Casana 2020;2020;Casana, Jesse;Global-Scale Archaeological Prospection using CORONA Satellite Imagery: Automated, Crowd-Sourced, and Expert-led Approaches;"Declassified CORONA satellite imagery, collected from 1960-1972 as part of the world's first intelligence satellite program, provides nearly global, high-resolution, stereo imagery that predates many of the land-use changes seen in recent decades, and thus has proven to be an immensely valuable resource for archaeological research. While challenges involved in spatially correcting these unusual panoramic film images has long served as a stumbling block to researchers, an online tool called \Sunspot\\ now offers a straightforward process for efficient and accurate orthorectification of CORONA, helping to unlock the potential of this historical imagery for global-scale archaeological prospection. With these new opportunities come significant new challenges in how best to search through large imagery datasets like that offered by CORONA. In contrast to currently popular trends in archaeological remote sensing that seek to employ either automated, machine learning-based approaches, or alternatively, crowd-sourced approaches to assist in the identification of ancient sites and features, this paper argues for systematic, intensive, and expert-led \\""brute force\\"" methods. Results from a project that has sought to map all sites and related features across a large study in the northern Fertile Crescent illustrate how an expert-led analysis may be the best means of generating nuanced, contextual understandings of complex archaeological landscapes.\""""";USA;Journal of Field Archaeology;Yes
ID039;David and Douglass 2020;2020;"Davis, Dylan S.; Douglass, Kristina";Aerial and Spaceborne Remote Sensing in African Archaeology: A Review of Current Research and Potential Future Avenues;Africa represents a vast region where remote sensing technologies have been largely uneven in their archaeological applications. With impending climate-related risks such as increased coastal erosion and rising sea levels, coupled with rapid urban development, gaps in our knowledge of the human history of this continent are in jeopardy of becoming permanent. Spaceborne and aerial remote sensing instruments are powerful tools for producing relatively complete records of archaeological settlement patterns and human behavior at landscape scales. These sensors allow for massive amounts of information to be recorded and analyzed in short spans of time and offer an effective means to increase survey areas and the discovery of new cultural deposits. In this paper, we review various case studies throughout Africa dealing with aerial and satellite remote sensing applications to landscape archaeology in order to highlight recent developments and future research avenues. Specifically, we argue that (semi)automated remote sensing methods stemming from machine learning developments will prove vital to expanding our knowledge base of Africa's archaeological record. This is especially important for coastal and island regions of the continent where climate change threatens the survival of much of the archaeological record.;USA;African Archaeological Review;Yes
ID040;Ginau et al. 2020;2020;"Ginau, A; Steiniger, D; Hartmann, R; Hartung, U; Schiestl, R; Altmeyer, M; Seeliger, M; Wunderlich, J";What settlements leave behind - pXRF compositional data analysis of archaeological layers from Tell el-Fara'in (Buto, Egypt) using machine learning;Modern portable and handheld XRF devices (pXRF) allow quick measurement of large geochemical datasets without the necessity for laboratory facilities. Such facilities are rare in Egypt and modern dating techniques which are indispensable in Geoarchaeology to establish a robust chronology are not available, as sample transport is restricted and Egypt does not provide OSL or AMS C-14 laboratories. With these preconditions, we evaluate the usability of pXRF geochemical data for the dating of archaeological sediments with machine learning techniques. The sample material was collected via sampling of archaeological sections and profile walls from archaeological excavations in the northwestern Nile delta at the settlement site Buto (Tell el-Fara'in) and Kom el-Gir. Additionally, samples were taken from sediments and cultural layers uncovered from their surroundings using vibracore corings with open steel auger heads. In this methodological approach, we examine the applicability of pXRF methods and test the sample data for distinct geochemical differences between the main settlement phases with multivariate statistical methods. The dating is based on the training of artificial neural networks with pXRF data from archaeological material of well-dated context to date test data of cultural layers within the vibracores. This allows us to link fundamental changes in the landscape with the settlement history of Buto and neighboring tells.;DEU;Palaeogeography Palaeoclimatology Palaeoecology;No
ID041;Hansen and Nebel 2020;2020;"Hansen, Jered; Nebel, Mark";Prioritizing Archaeological Inventory and Protection with Predictive Probability Models at Glen Canyon National Recreation Area, USA;To prioritize archaeological site inventory and protection at Glen Canyon National Recreation Area (Glen Canyon NRA), predictive probability models were developed using the Random Forests machine learning method. Glen Canyon NRA consists of approximately 5,000 km 2 in Arizona and Utah containing evidence of multiple prehistoric cultures spanning at least 10000 years. Large portions of Glen Canyon NRA have never been inventoried for archaeological resources. Archaeological sites are potentially subject to irreparable damage along roads and receding Lake Powell shorelines accessible to off-road vehicles and boats. The diverse cultural history, highly variable physiographic environments, archaeological site data inconsistencies, and limited available model variable data provided challenges. Model results improved by classifying sites, based on their inferred usage, and distinguishing distinct physiographic regions within the larger NRA landscape. Model results are being used to target ongoing field surveys. Initial validation is positive, with new sites discovered in areas of predicted high probability.;USA;Kiva-Journal of Southwestern Anthropology and History;Yes
ID042;He et al. 2020;2020;"He, YH; Zhang, AX; Li, MF; Huang, YY; Quan, BG; Li, DZ; Wu, LA; Chen, LM";High-resolution sub-sampling incoherent x-ray imaging with a single-pixel detector;Imaging has drawn great attention for its potential to obtain images with a high resolution and lower radiation dose in medical diagnosis, even with only a single-pixel detector. However, it is hard to realize with a portable x-ray source due to its low flux. Here, we demonstrate a computational x-ray ghost imaging scheme where a real bucket detector and specially designed high-efficiency modulation masks are used, together with a robust deep learning algorithm in which a compressed set of Hadamard matrices is incorporated into a multi-level wavelet convolutional neural network. With a portable incoherent x-ray source of similar to 37 mu m diameter, we have obtained an image of a real object from only 18.75% of the Nyquist sampling rate. A high imaging resolution of similar to 10 mu m has been achieved, which is required for cancer detection and so represents a concrete step toward the realization of a practical low cost x-ray ghost imaging camera for applications in biomedicine, archeology, material science, and so forth.;CHN;APL Photonics;Yes
ID043;Ibrahim et al. 2020;2020;"Ibrahim, Y; Nagy, B; Benedek, C";Deep Learning-Based Masonry Wall Image Analysis;In this paper we introduce a novel machine learning-based fully automatic approach for the semantic analysis and documentation of masonry wall images, performing in parallel automatic detection and virtual completion of occluded or damaged wall regions, and brick segmentation leading to an accurate model of the wall structure. For this purpose, we propose a four-stage algorithm which comprises three interacting deep neural networks and a watershed transform-based brick outline extraction step. At the beginning, a U-Net-based sub-network performs initial wall segmentation into brick, mortar and occluded regions, which is followed by a two-stage adversarial inpainting model. The first adversarial network predicts the schematic mortar-brick pattern of the occluded areas based on the observed wall structure, providing in itself valuable structural information for archeological and architectural applications. The second adversarial network predicts the pixels' color values yielding a realistic visual experience for the observer. Finally, using the neural network outputs as markers in a watershed-based segmentation process, we generate the accurate contours of the individual bricks, both in the originally visible and in the artificially inpainted wall regions. Note that while the first three stages implement a sequential pipeline, they interact through dependencies of their loss functions admitting the consideration of hidden feature dependencies between the different network components. For training and testing the network a new dataset has been created, and an extensive qualitative and quantitative evaluation versus the state-of-the-art is given. The experiments confirmed that the proposed method outperforms the reference techniques both in terms of wall structure estimation and regarding the visual quality of the inpainting step, moreover it can be robustly used for various different masonry wall types.;HUN;Remote Sensing;Yes
ID044;Liu et al. 2020;2020;"Liu, ES; Cheng, XJ; Cheng, XL; Zhou, TF; Huang, YH";Application of Three-Dimensional Laser Scanning in the Protection of Multi-Dynasty Ceramic Fragments;The number of fragments and the variety of primitive cultural relics unearthed in archaeology, especially the mixed fragments of several dynasties unearthed in Qinglong town, Shanghai, pose a great challenge to the manual splicing. The traditional manual comparison method is easy to cause the second damage to the cultural relics. In this paper, the edge feature is extracted based on removing the noise of point cloud, a bilateral filtering point cloud denoising algorithm based on salient features is proposed. By changing the step size and field of view, the Improved Artificial Fish Swarm Algorithm is used to get the matching strategy, and the point cloud is used to reconstruct 3D model by the Dual Quaternion Transformation method. The pairing of fragments and virtual reconstruction can effectively avoid the secondary damage of cultural relic fragments. It provides a feasible artificial intelligence solution for the protection and restoration of similar archaeological excavations.;CHN;IEEE Access;Yes
ID045;Lopez-Bulto 2020;2020;Lopez-Bulto, O;Wood analysis and beyond: Contribution of twice-neglected wooden materials to the wooden procurement and transformation processes at la Draga (Banyoles, Spain);Woodworking debris and formless pieces of wood are twice neglected wooden materials on archaeological sites. Initially, they are neglected as all the archaeological wooden materials are, due to their perishable nature. Secondly, they are neglected since archaeologists tend to ignore them on their analysis as they are not final products or bigger structural elements. In this paper, it will be discussed the importance that even those materials can have regarding the wood procurement and elaboration processes, which will never be entirely studied without adding debris and formless pieces of wood into the equation. Based on the archaeological example of the waterlogged Neolithic site of la Draga (Banyoles, Spain), it will be discussed the way in which wood as raw material is obtained and transported to the settlement, and the ways the elaboration process is realized.;ESP;Journal of Archaeological Science-Reports;No
ID046;Moclán et al. 2020;2020;"Moclán, A; Huguet, R; Marquez, B; Laplana, C; Arsuaga, JL; Perez-Gonzalez, A; Baquedano, E";Identifying the bone-breaker at the Navalmaillo Rock Shelter (Pinilla del Valle, Madrid) using machine learning algorithms;In recent years, reports on bone breakage at archaeological sites have become more common in the taphonomic literature. The present work tests a recently published method, based on the use of machine learning algorithms for analysing the processes involved in bone breakage, to identify the agent that broke the bones of medium-sized animals at the Mousterian Navalmaillo Rock Shelter (Pinilla del Valle, Madrid). This is the first time this method has been used in an archaeological setting. The results show that these bones were mostly broken by anthropic action, while some were slightly ravaged by carnivores, probably hyaenas. These findings agree very well with published interpretations of the site, and show the method used to be useful in taphonomic studies of archaeological materials with poorly preserved cortical surfaces.;ESP;Archaeological and Anthropological Sciences;Yes
ID047;Monna et al. 2020;2020;"Monna, Fabrice; Magail, Jerome; Rolland, Tanguy; Navarro, Nicolas; Wilczek, Josef; Gantulga, Jamiyan-Ombo; Esin, Yury; Granjon, Ludovic; Allard, Anne-Caroline; Chateau-Smith, Carmela";Machine learning for rapid mapping of archaeological structures made of dry stones - Example of burial monuments from the Khirgisuur culture, Mongolia -;The present study proposes a workflow to extract from orthomosaics the enormous amount of dry stones used by past societies to construct funeral complexes in the Mongolian steppes. Several different machine learning algorithms for binary pixel classification (i.e. stone vs non-stone) were evaluated. Input features were extracted from high-resolution orthomosaics and digital elevation models (both derived from aerial imaging). Comparative analysis used two colour spaces (RGB and HSV), texture features (contrast, homogeneity and entropy raster maps), and the topographic position index, combined with nine supervised learning algorithms (nearest centroid, naive Bayes, k-nearest neighbours, logistic regression, linear and quadratic discriminant analyses, support vector machine, random forest, and artificial neural network). When features are processed together, excellent output maps, very close to or outperforming current standards in archaeology, are observed for almost all classifiers. The size of the training set can be drastically reduced (to ca. 300 samples) by majority voting, while maintaining performance at the highest level (about 99.5% for all performance scores). Note, however, that if the training set is inadequate or not fully representative, the classification results are poor. That said, the methods applied and tested here are extremely rapid. Extensive mapping, which would have been difficult with traditional, manual, or semiautomatic delineation of stones using a vector graphics editor, now becomes possible. This workflow generally surpasses pedestrian surveys using differential GPS or a total station. (C) 2020 Elsevier Masson SAS. All rights reserved.;FRA;Journal of Cultural Heritage;No
ID048;Naito et al. 2020;2020;"Naito, Yuichi I.; Yamane, Masako; Kitagawa, Hiroyuki";A protocol for using attenuated total reflection Fourier-transform infrared spectroscopy for pre-screening ancient bone collagen prior to radiocarbon dating.;RATIONALE: Pre-screening of bone collagen quality is important to reduce the cost for analyses such as radiocarbon ((14) C) dating with accelerator mass spectrometry in archaeological studies. We developed a pre-screening protocol based on attenuated total reflection (ATR) Fourier-transform infrared spectroscopy (FTIR) for assessing the chemical composition and mineralogy of ancient bone samples. METHODS: ATR-FTIR measurements were performed on bulk bones of diverse origin and age before collagen extraction. The percentage nitrogen of bulk bones, as well as the weight percentage, and the percentage carbon and nitrogen of extracted organic matter were noted. Several machine learning algorithms were applied to the spectral data and compared for their efficacy in screening for well preserved collagen. RESULTS: The results showed that (a) the first derivative of the spectral data was better suited to screening than the raw FTIR data, especially for a wider spectral range and (b) certain classification algorithms [e.g. gradient boosting machine (GBM)] were able to efficiently predict the degree of preservation in bone samples. CONCLUSIONS: This pre-screening protocol can serve as a fast, concise and inexpensive pre-screening tool for determining relative degrees of preservation before collagen extraction and subsequent (14) C dating. The screening power based on the machine learning techniques can be further improved by accumulating the FTIR spectral data of bones.;JPN;Rapid Communications in Mass Spectrometry;Yes
ID049;O'Bryon et al. 2020;2020;"O'Bryon, Isabelle; Jenson, Sarah C.; Merkley, Eric D.";Flying blind, or just flying under the radar? The underappreciated power of de novo methods of mass spectrometric peptide identification.;Mass spectrometry-based proteomics is a popular and powerful method for precise and highly multiplexed protein identification. The most common method of analyzing untargeted proteomics data is called database searching, where the database is simply a collection of protein sequences from the target organism, derived from genome sequencing. Experimental peptide tandem mass spectra are compared to simplified models of theoretical spectra calculated from the translated genomic sequences. However, in several interesting application areas, such as forensics, archaeology, venomics, and others, a genome sequence may not be available, or the correct genome sequence to use is not known. In these cases, de novo peptide identification can play an important role. De novo methods infer peptide sequence directly from the tandem mass spectrum without reference to a sequence database, usually using graph-based or machine learning algorithms. In this review, we provide a basic overview of de novo peptide identification methods and applications, briefly covering de novo algorithms and tools, and focusing in more depth on recent applications from venomics, metaproteomics, forensics, and characterization of antibody drugs.;USA;Protein science;Yes
ID050;Ramazzotti 2020;2020;Ramazzotti, Marco;Modeling the past. Logics, semantics and neural computing in archaeology;The study of complex archaeological systems through the new Artificial Intelligence and Natural and Neural Computing is a research project which evaluates the historical meaning of the relationships between records of the past as an essentially human construction. It repeats a strong position of Analytical Archaeology, but updates it on the basis of the progress which neurasciences and physics have made in simulating the principles which regulate memory, orientation, classification and mapping of reality. Modelling and simulating the contexts of the past in integrated, parallel, distributed processing through machine learning methods, must make use of a precise encoding of the documents. It takes on an important role in empirical research only when the results produced become the hyper-surface of a network membrane to continue, update, refine or open the analysis itself. After some 30 years of such theoretical, analytical and experimental research, logics, semantics and applications of neural computing maintain their distinct value as a new theoretical approach for the study of dynamic and systemic cultural complexity. They provide a new analytical paradigm for computational modelling in archaeology and an advanced computational method for pattern recognition in archaeometry.;ITA;Archeologia e Calcolatori;Yes
ID051;Serna et al. 2020;2020;"Serna, Alejandro; Prates, Luciano; Mange, Emiliano; Salazar-Garcia, Domingo C.; Bataille, Clement P.";Implications for paleomobility studies of the effects of quaternary volcanism on bioavailable strontium: A test case in North Patagonia (Argentina);Strontium isotopes (Sr-87/Sr-86) are used as geochemical tracers for paleomobility studies because they display predictable and stable patterns in ecosystems primarily controlled by the underlying geological regimes. While bedrock geology is stable over thousands of years, geomorphological processes can influence the Sr-87/Sr-86 in ecosystems over archeologically relevant timescales. Among these geomorphological processes, the deposition and reworking of volcanic sediments over Quaternary timescales are little studied but could be an important control of Sr-87/Sr-86 variations in many archeological regions. North Patagonia is a key archeological region to address animal and human movements, and an ideal location to test the influence of Quaternary volcanism on Sr-87/Sr-86 variation as it is located downwind of major volcanic centers. In this study, we aim to assess the main environmental and geological controls of bioavailable Sr-87/Sr-86 and to build a high-resolution isoscape using a machine learning regression framework for forthcoming paleomobility studies. We sampled several locations and analyzed different types of samples (N = 94). The ratios show a limited range of variation, which is not related to the bedrock geology. Rather, bioavailable Sr-87/Sr-86 variations display a progressive increase going eastward (away from the Andes), following dust aerosol deposition and elevation variations (R-2 = 0.71, RMSE = 0.00041). We argue that this trend relates to the deposition and reworking of unradiogenic volcanic sediments by aeolian, fluvial and glacial erosion during the Quaternary. As most of this sediment reworking occurred during glacial periods, the current bioavailable Sr-87/Sr-86 variations across the study area likely represent a long-term average that varied little during the Holocene. Consequently, our isoscape provides a solid base for Holocene paleomobility studies in North Patagonia and underlines the importance of Quaternary volcanism processes for interpreting Sr-87/Sr-86 data in paleomobility studies in volcanic regions.;ARG;Journal of Archaeological Science;No
ID052;Soroush et al. 2020;2020;"Soroush, M; Mehrtash, A; Khazraee, E; Ur, JA";Deep Learning in Archaeological Remote Sensing: Automated Qanat Detection in the Kurdistan Region of Iraq;In this paper, we report the results of our work on automated detection of qanat shafts on the Cold War-era CORONA Satellite Imagery. The increasing quantity of air and space-borne imagery available to archaeologists and the advances in computational science have created an emerging interest in automated archaeological detection. Traditional pattern recognition methods proved to have limited applicability for archaeological prospection, for a variety of reasons, including a high rate of false positives. Since 2012, however, a breakthrough has been made in the field of image recognition through deep learning. We have tested the application of deep convolutional neural networks (CNNs) for automated remote sensing detection of archaeological features. Our case study is the qanat systems of the Erbil Plain in the Kurdistan Region of Iraq. The signature of the underground qanat systems on the remote sensing data are the semi-circular openings of their vertical shafts. We choose to focus on qanat shafts because they are promising targets for pattern recognition and because the richness and the extent of the qanat landscapes cannot be properly captured across vast territories without automated techniques. Our project is the first effort to use automated techniques on historic satellite imagery that takes advantage of neither the spectral imagery resolution nor very high (sub-meter) spatial resolution.;USA;Remote Sensing;Yes
ID053;Stewart et al. 2020;2020;"Stewart, Christopher; Labreche, Georges; Gonzalez, Daniel Lombrana";A Pilot Study on Remote Sensing and Citizen Science for Archaeological Prospection;Cost-effective techniques for systematic archaeological prospection are essential to improve the efficiency of preventive archaeology and the preservation of cultural heritage. Web Mapping Services, such as Microsoft Bing Maps, provide imagery covering extensive areas at high resolution. These can, in some cases, reveal cropmarks of buried historical structures. Given that archaeological prospection is not generally the priority of most common Web Mapping Services, the conditions under which images are acquired are not always suitable for the appearance of cropmarks. Therefore, their detection is typically serendipitous. This pilot project attempts to assess the potential to use the Microsoft Bing Maps Bird's Eye service within a crowdsourcing platform to systematically search for archaeological cropmarks in the surroundings of the city of Rome in Italy. On this platform, which is hosted by the company Scifabric (Southampton, UK) and based on PyBossa, an Open Source framework for crowdsourcing, members of the public are invited to interpret oblique air photo tiles of Bing Maps Bird's Eye. While the project is still on-going, at least one seamless coverage of tiles in the area of interest has been interpreted. For each tile, the Bing Maps Bird's Eye service provides oblique air photo coverage in up to four possible orientations. As of 5 July 2020, 18,765 of the total 67,014 tasks have been completed. Amongst these completed tasks, positive detections of cropmarks were recorded once for 1447 tasks, twice for 57 tasks, and three or more times for 10 tasks. While many of these detections may be erroneous, some correspond with archaeological cropmarks of buried remains of buildings, roads, aqueducts, and urban areas from the Roman period, as verified by comparison with archaeological survey data. This leads to the conclusion that the Bing Maps Bird's Eye service contains a wealth of information useful for archaeological prospection, and that to a certain extent citizen researchers could help to mine this information. However, a more thorough analysis would need to be carried out on possible false negatives and biases related to the varying ease of interpretation of residues of different archaeological structures from multiple historical periods. This activity forms the first part of a research project on the systematic prospection of archaeological cropmarks. The ultimate aim is to reach a critical mass of training data through crowdsourcing which can be augmented and used as input to train a machine learning algorithm for automatic detection on a larger scale.;ITA;Remote Sensing;Yes
ID054;Sutko 2020;2020;Sutko, DM;Theorizing femininity in artificial intelligence: a framework for undoing technology's gender troubles;"This article responds to technofeminist calls to unpack the gendered politics of technologies and create critical crossover between their representation and design. I analyze feminized artificial intelligence (Siri, Alexa, Cortana) in light of two science-fiction narratives: Tomorrow's Eve, a Victorian novel; and Her, a postmillennial film. Each story exemplifies a pivotal moment in media history: Eve the transition from symbolic to technical media; Her the transition from technical to computational media. Both stories depict a man falling in love with an artificially intelligent, feminized version of the communication media du jour. Whereas Eve and Her operate on our imaginary, Siri, Alexa, and Cortana are by our side every day, naturalizing contingent gender divisions. I address three questions: what is the cultural work accomplished by feminized AI? Which boundaries are coming down or built up? What gendered relations are (re)produced? Drawing on media archaeology, critical theory, gender studies, and media theory, this article argues the association of femininity with technology sustains differences across three dimensions: docile labour, replaceable embodiment, and artificial intelligence. This triadic framework weaves together analytic threads that often remain separate to develop a nuanced critique of femininity as a mode for domesticating new technology and technology as materializing gender relations. The discussion extends the framework to a more generalized analysis of AI as a problematic prescription for how we become machine-shaped. I advance an entangled reinterpretation of the Turing Test and suggest ethics, aesthetics, and performativity as key sites of intervention in rethinking AI design to include rather than exclude multiple forms of difference. The conclusion offers the framework as a novel heuristic for intersectional, nonreductive critiques of technology and difference.";USA;Cultural Studies;No
ID055;Uddin et al. 2020;2020;"Uddin, Zahoor; Altaf, Muhammad; Bilal, Muhammad; Nkenyereye, Lewis; Bashir, Ali Kashif";Amateur Drones Detection: A machine learning approach utilizing the acoustic signals in the presence of strong interference;Owing to small size, sensing capabilities and autonomous nature, the Unmanned Air Vehicles (UAVs) have enormous applications in various areas e.g., remote sensing, navigation, archaeology, journalism, environmental science, and agriculture. However, the un-monitored deployment of UAVs called the amateur drones (AmDr) can lead to serious security threats and risk to human life and infrastructure. Therefore, timely detection of the AmDr is essential for the protection and security of sensitive organizations, human life and other vital infrastructure. AmDrs can be detected using different techniques based on sound, video, thermal, and radio frequencies. However, the performance of these techniques is limited in sever atmospheric conditions. In this paper, we propose an efficient un-supervise machine learning approach of independent component analysis (ICA) to detect various acoustic signals i.e., sounds of bird, airplanes, thunderstorm, rain, wind and the UAVs in practical scenario. After unmixing the signals, the features like Mel Frequency Cepstral Coefficients (MFCC), the power spectral density (PSD) and the Root Mean Square Value (RMS) of the PSD are extracted by using ICA. The PSD and the RMS of PSD signals are extracted by first passing the signals from octave band filter banks. Based on the above features the signals are classified using Support Vector Machines (SVM)and K Nearest Neighbour (KNN)to detect the presence or absence of AmDr. Unique feature of the proposed technique is the detection of a single or multiple AmDrs at a time in the presence of multiple acoustic interfering signals. The proposed technique is verified through extensive simulations and it is observed that the RMS values of PSD with KNN performs better than the MFCC with KNN and SVM.;PAK;Computer Communications;No
ID056;Ushizima et al. 2020;2020;"Ushizima, D; Xu, K; Monteiro, PJM";Materials Data Science for Microstructural Characterization of Archaeological Concrete;Ancient Roman concrete presents exceptional durability, low-carbon footprint, and interlocking minerals that add cohesion to the final composition. Understanding of the structural characteristics of these materials using X-ray tomography (XRT) is of paramount importance in the process of designing future materials with similar complex heterogeneous structures. We introduce Materials Data Science algorithms centered on image analysis of XRT that support inspection and quantification of microstructure from ancient Roman concrete samples. By using XRT imaging, we access properties of two concrete samples in terms of three different material phases as well as estimation of materials fraction, visualization of the porous network and density gradients. These samples present remarkable durability in comparison with the concrete using Portland cement and nonreactive aggregates. Internal structures and respective organization might be the key to construction durability as these samples come from ocean-submersed archeological findings dated from about two thousand years ago. These are preliminary results that highlight the advantages of using non-destructive 3D XRT combined with computer vision and machine learning methods for systematic characterization of complex and irreproducible materials such as archeological samples. One significant impact of this work is the ability to reduce the amount of data for several computations to be held at minimalistic computational infrastructure, near real-time, and potentially during beamtime while materials scientists are still at the imaging facilities.;USA;MRS Advances;Yes
ID057;Yaworsky et al. 2020;2020;"Yaworsky, Peter M.; Vernon, Kenneth B.; Spangler, Jerry D.; Brewer, Simon C.; Codding, Brian F.";Advancing predictive modeling in archaeology: An evaluation of regression and machine learning methods on the Grand Staircase-Escalante National Monument;Advancing predictive modeling in archaeology: An evaluation of regression and machine learning methods on the Grand Staircase-Escalante National Monument;USA;PloS One;Yes
ID058;Abitbol et al. 2021;2021;"Abitbol, Roy; Shimshoni, Ilan; Ben-Dov, Jonathan";Machine Learning Based Assembly of Fragments of Ancient Papyrus;The task of assembling fragments in a puzzle-like manner into a composite picture plays a significant role in the field of archaeology as it supports researchers in their attempt to reconstruct historic artifacts. In this article, we propose a method for matching and assembling pairs of ancient papyrus fragments containing mostly unknown scriptures. Papyrus paper is manufactured from papyrus plants and therefore portrays typical thread patterns resulting from the plant's stems. The proposed algorithm is founded on the hypothesis that these thread patterns contain unique local attributes such that nearby fragments show similar patterns reflecting the continuations of the threads. We posit that these patterns can be exploited using image processing and machine learning techniques to identify matching fragments. The algorithm and system which we present support the quick and automated classification of matching pairs of papyrus fragments as well as the geometric alignment of the pairs against each other. The algorithm consists of a series of steps and is based on deep-learning and machine learning methods. The first step is to deconstruct the problem of matching fragments into a smaller problem of finding thread continuation matches in local edge areas (squares) between pairs of fragments. This phase is solved using a convolutional neural network ingesting raw images of the edge areas and producing local matching scores. The result of this stage yields very high recall but low precision. Thus, we utilize these scores in order to conclude about the matching of entire fragments pairs by establishing an elaborate voting mechanism. We enhance this voting with geometric alignment techniques from which we extract additional spatial information. Eventually, we feed all the data collected from these steps into a Random Forest classifier in order to produce a higher order classifier capable of predicting whether a pair of fragments is a match. Our algorithm was trained on a batch of fragments which was excavated from the Dead Sea caves and is dated circa the 1st century BCE. The algorithm shows excellent results on a validation set which is of a similar origin and conditions. We then tried to run the algorithm against a real-life set of fragments for which we have no prior knowledge or labeling of matches. This test batch is considered extremely challenging due to its poor condition and the small size of its fragments. Evidently, numerous researchers have tried seeking matches within this batch with very little success. Our algorithm performance on this batch was sub-optimal, returning a relatively large ratio of false positives. However, the algorithm was quite useful by eliminating 98% of the possiblematches thus reducing the amount of work needed formanual inspection. Indeed, experts that reviewed the results have identified some positive matches as potentially true and referred them for further investigation.;ISR;Acm Journal on Computing and Cultural Heritage;No
ID059;Adam and Moy 2021;2021;"Adams, Henry; Moy, Michael";Topology Applied to Machine Learning: From Global to Local.;Through the use of examples, we explain one way in which applied topology has evolved since the birth of persistent homology in the early 2000s. The first applications of topology to data emphasized the global shape of a dataset, such as the three-circle model for 3 Ã— 3 pixel patches from natural images, or the configuration space of the cyclo-octane molecule, which is a sphere with a Klein bottle attached via two circles of singularity. In these studies of global shape, short persistent homology bars are disregarded as sampling noise. More recently, however, persistent homology has been used to address questions about the local geometry of data. For instance, how can local geometry be vectorized for use in machine learning problems? Persistent homology and its vectorization methods, including persistence landscapes and persistence images, provide popular techniques for incorporating both local geometry and global topology into machine learning. Our meta-hypothesis is that the short bars are as important as the long bars for many machine learning tasks. In defense of this claim, we survey applications of persistent homology to shape recognition, agent-based modeling, materials science, archaeology, and biology. Additionally, we survey work connecting persistent homology to geometric features of spaces, including curvature and fractal dimension, and various methods that have been used to incorporate persistent homology into machine learning.;USA;Frontiers in Artificial Intelligence;Yes
ID060;Agapiou et al. 2021;2021;"Agapiou, A; Vionis, A; Papantoniou, G";Detection of Archaeological Surface Ceramics Using Deep Learning Image-Based Methods and Very High-Resolution UAV Imageries;Mapping surface ceramics through systematic pedestrian archaeological survey is considered a consistent method to recover the cultural biography of sites within a micro-region. Archaeologists nowadays conduct surface survey equipped with navigation devices counting, documenting, and collecting surface archaeological potsherds within a set of plotted grids. Recent advancements in unmanned aerial vehicles (UAVs) and image processing analysis can be utilised to support such surface archaeological investigations. In this study, we have implemented two different artificial intelligence image processing methods over two areas of interest near the present-day village of Kophinou in Cyprus, in the Xeros River valley. We have applied a random forest classifier through the Google Earth Engine big data cloud platform and a Single Shot Detector neural network in the ArcGIS Pro environment. For the first case study, the detection was based on red-green-blue (RGB) high-resolution orthophotos. In contrast, a multispectral camera covering both the visible and the near-infrared parts of the spectrum was used in the second area of investigation. The overall results indicate that such an approach can be used in the future as part of ongoing archaeological pedestrian surveys to detect scattered potsherds in areas of archaeological interest, even if pottery shares a very high spectral similarity with the surface.;CYP;Land;Yes
