Key;Item.Type;Publication.Year;Author;Title;Publication.Title;Abstract.Note;File.Attachments
CXEAZXAQ;journalArticle;2021;"Berganzo-Besga, Iban; Orengo, Hector A.; Lumbreras, Felipe; Carrero-Pazos, Miguel; Fonte, Joao; Vilas-Estevez, Benito";Hybrid MSRM-Based Deep Learning and Multitemporal Sentinel 2-Based Machine Learning Algorithm Detects Near 10k Archaeological Tumuli in North-Western Iberia;Remote Sensing;This paper presents an algorithm for large-scale automatic detection of burial mounds, one of the most common types of archaeological sites globally, using LiDAR and multispectral satellite data. Although previous attempts were able to detect a good proportion of the known mounds in a given area, they still presented high numbers of false positives and low precision values. Our proposed approach combines random forest for soil classification using multitemporal multispectral Sentinel-2 data and a deep learning model using YOLOv3 on LiDAR data previously pre-processed using a multi-scale relief model. The resulting algorithm significantly improves previous attempts with a detection rate of 89.5%, an average precision of 66.75%, a recall value of 0.64 and a precision of 0.97, which allowed, with a small set of training data, the detection of 10,527 burial mounds over an area of near 30,000 km(2), the largest in which such an approach has ever been applied. The open code and platforms employed to develop the algorithm allow this method to be applied anywhere LiDAR data or high-resolution digital terrain models are available.</p>;Berganzo-Besga et al. - 2021 - Hybrid MSRM-Based Deep Learning and Multitemporal .txt
IRMIJKYN;journalArticle;2022;"Fiorucci, Marco; Verschoof-van der Vaart, Wouter B.; Soleni, Paolo; Le Saux, Bertrand; Traviglia, Arianna";Deep Learning for Archaeological Object Detection on LiDAR: New Evaluation Measures and Insights;Remote Sensing;Machine Learning-based workflows are being progressively used for the automatic detection of archaeological objects (intended as below-surface sites) in remote sensing data. Despite promising results in the detection phase, there is still a lack of a standard set of measures to evaluate the performance of object detection methods, since buried archaeological sites often have distinctive shapes that set them aside from other types of objects included in mainstream remote sensing datasets (e.g., Dataset of Object deTection in Aerial images, DOTA). Additionally, archaeological research relies heavily on geospatial information when validating the output of an object detection procedure, a type of information that is not normally considered in regular machine learning validation pipelines. This paper tackles these shortcomings by introducing two novel automatic evaluation measures, namely 'centroid-based' and 'pixel-based', designed to encode the salient aspects of the archaeologists' thinking process. To test their usability, an experiment with different object detection deep neural networks was conducted on a LiDAR dataset. The experimental results show that these two automatic measures closely resemble the semi-automatic one currently used by archaeologists and therefore can be adopted as fully automatic evaluation measures in archaeological remote sensing detection. Adoption will facilitate cross-study comparisons and close collaboration between machine learning and archaeological researchers, which in turn will encourage the development of novel human-centred archaeological object detection tools.;Fiorucci et al. - 2022 - Deep Learning for Archaeological Object Detection .txt
2HPT3IA9;journalArticle;2022;"Anglisano, Anna; Casas, Lluis; Queralt, Ignasi; Di Febo, Roberta";Supervised Machine Learning Algorithms to Predict Provenance of Archaeological Pottery Fragments;Sustainability;Code and data sharing are crucial practices to advance toward sustainable archaeology. This article explores the performance of supervised machine learning classification methods for provenancing archaeological pottery through the use of freeware R code in the form of R Markdown files. An illustrative example was used to show all the steps of the new methodology, starting from the requirements to its implementation, the verification of its classification capability and finally, the production of cluster predictions. The example confirms that supervised methods are able to distinguish classes with similar features, and provenancing is achievable. The provided code contains self-explanatory notes to guide the users through the classification algorithms. Archaeometrists without previous knowledge of R should be able to apply the novel methodology to similar well-constrained classification problems. Experienced users could fully exploit the code to set up different combinations of parameters, and they could further develop it by adding other classification algorithms to suit the requirements of diverse classification strategies.;Anglisano et al. - 2022 - Supervised Machine Learning Algorithms to Predict .txt
89NYAIXF;journalArticle;2022;"Lerner, Jenny; Shimshoni, Ilan";Thin section analysis for ceramic petrography using motion analysis and segmentation techniques;Machine Vision and Applications;Mineral segmentation in ceramic thin sections containing different minerals, in which there are no evident and close boundaries, is a rather complex process. The results of such a process are used in archaeology for analyzing the origin and manufacturing techniques of ancient ceramics. In this paper we present a methodology for the segmentation and analysis of thin sections of material segments and reaching some conclusions in a fully automatic way. We employ machine learning and computer vision techniques to analyze a video of the thin section sample, acquired under an optical microscope. When examined under polarized light, the color of segments may vary during sample rotation. This variation is due to the optical properties of the materials and it provides valuable information about the material inclusions in the sample. Using the video as our input, we perform an entire-video segmentation. To accomplish this task, we developed a hierarchical categorical mean-shift-based algorithm. Using the entire-video segmentation we examine the detected segments and gather statistical information about their sizes, shapes and colors and present an overall report about the sample. We tested the algorithm on nine specimens of ancient ceramics, taken from three different Mediterranean sites. The results show clear differences between the sites in the amounts, sizes and shapes of the segments present in the specimens.;Lerner et Shimshoni - 2022 - Thin section analysis for ceramic petrography usin.txt
FMLP8VR5;journalArticle;2022;"Demjan, Peter; Pavuk, Peter; Roosevelt, Christopher H.";Laser-Aided Profile Measurement and Cluster Analysis of Ceramic Shapes;Journal of Field Archaeology;Ceramics are one of the commonest sources of archaeological information, yet their abundance often confounds documentation and analysis. This article presents a new method of documenting and analyzing ceramics that includes laser-aided profile measurement to capture ceramic shape and other information quickly and accurately, resulting in digital outputs suitable for both publication and morphometric analysis. Linked software and database solutions enable unsupervised machine learning to cluster shapes based on similarity, eventually assisting typological analysis. Following an overview of current practices in ceramic recording and both standard and computational shape classification analyses, the new approach is discussed in full as a documentary and analytical tool. A case study from the Middle and Late Bronze Age site of Kaymakci in western Anatolia demonstrates the benefits of the recording method and helps show that a combination of automated and manual shape clustering techniques currently remains the best practice in ceramic shape classification.;Demjan et al. - Laser-Aided Profile Measurement and Cluster Analys.txt
MECHDZLU;journalArticle;2022;"Doyle, Colin; Luzzadder-Beach, Sheryl; Beach, Timothy";Advances in remote sensing of the early Anthropocene in tropical wetlands: From biplanes to lidar and machine learning;Progress in Physical Geography-Earth and Environment;This paper reviews the history of remote sensing for mapping ancient Maya wetland fields in Central America and provides a new assessment using machine learning with LiDAR data. We evaluate past uses of radar, multispectral, and LiDAR datasets in Northwest Belize across well-studied wetland field complexes that occur under different vegetation conditions. Next, we compare topographic products derived from LiDAR data commonly used for archaeology and geomorphology. Lastly, we train a machine learning algorithm to detect ancient canals with LiDAR data and test the algorithm on a newly rediscovered field system. The spatial resolution of any dataset must be sufficiently high (2-m or finer resolution) to detect most of these canals reliably. High resolution multispectral sensors can detect canals in open areas, but most wetland complexes are under dense tropical forest impenetrable to multispectral instruments. LiDAR data were the most useful due to the high spatial resolution (0.5-m) and the ability to penetrate canopy, but still have limitations under certain conditions. The intensity of the LiDAR returns with multispectral LiDAR systems can reveal differences in soil and vegetation between ancient canals and fields in places leveled by modern farmers. The algorithm successfully maps ancient canals but has many false positives in natural depressions and drainages. Although the machine learning approach tested here cannot be used on its own, we used it with the LiDAR visualizations to refine the canal estimates from previous studies, mapping nearly 50% more canals in the Central Rio Bravo floodplain than originally published.;Doyle et al. - Advances in remote sensing of the early Anthropoce.txt
SM49FCDD;journalArticle;2022;"Karamitrou, Alexandra; Sturt, Fraser; Bogiatzis, Petros; Beresford-Jones, David";Towards the use of artificial intelligence deep learning networks for detection of archaeological sites;Surface Topography-Metrology and Properties;While remote sensing data have long been widely used in archaeological prospection over large areas, the task of examining such data is time consuming and requires experienced and specialist analysts. However, recent technological advances in the field of artificial intelligence (AI), and in particular deep learning methods, open possibilities for the automated analysis of large areas of remote sensing data. This paper examines the applicability and potential of supervised deep learning methods for the detection and mapping of different kinds of archaeological sites comprising features such as walls and linear or curvilinear structures of different dimensions, spectral and geometrical properties. Our work deliberately uses open-source imagery to demonstrate the accessibility of these tools. One of the main challenges facing AI approaches has been that they require large amounts of labeled data to achieve high levels of accuracy so that the training stage requires significant computational resources. Our results show, however, that even with relatively limited amounts of data, simple eight-layer, fully convolutional network can be trained efficiently using minimal computational resources, to identify and classify archaeological sites and successfully distinguish them from features with similar characteristics. By increasing the number of training sets and switching to the use of high-performance computing the accuracy of the identified areas increases. We conclude by discussing the future directions and potential of such methods in archaeological research.;Karamitrou et al. - 2022 - Towards the use of artificial intelligence deep le.txt
7U5KWFQ2;journalArticle;2021;"Cacciari, Ilaria; Pocobelli, Giorgio F.";The contribution of artificial intelligence to aerial photointerpretation of archaeological sites: a comparison between traditional and machine learning methods;Archeologia e Calcolatori;On the basis of the research activity carried out as part of the Archeo 3.0 project ‘Integration of key enabling technologies for the efficiency of preventive archaeological excavations’, the authors explore the feasibility and limits of the automated approach for the recognition of archaeological marks. This approach is mainly motivated by the relevance that aerial photographs play in the reconstruction of ancient topography of human settlements. For this aim, a collection of historical aerial photographs of both the city and the necropolis of Vulci has been considered. These photographs, in colour and B/W, have been previously used in a PhD thesis in Ancient Topography in which the traditional methodology (photointerpretation and cartographic restitution) has been fully exploited. In this work, a systematic study is presented in order to compare the results obtained with Machine Learning techniques vs traditional ones. This comparison allows us to discuss the strengths and limits of both methodologies.;CACCIARI_2021.txt
DUTZIC5L;journalArticle;2021;"Adams, Henry; Moy, Michael";Topology Applied to Machine Learning: From Global to Local.;Frontiers in artificial intelligence;Through the use of examples, we explain one way in which applied topology has evolved since the birth of persistent homology in the early 2000s. The first  applications of topology to data emphasized the global shape of a dataset, such  as the three-circle model for 3 × 3 pixel patches from natural images, or the  configuration space of the cyclo-octane molecule, which is a sphere with a Klein  bottle attached via two circles of singularity. In these studies of global shape,  short persistent homology bars are disregarded as sampling noise. More recently,  however, persistent homology has been used to address questions about the local  geometry of data. For instance, how can local geometry be vectorized for use in  machine learning problems? Persistent homology and its vectorization methods,  including persistence landscapes and persistence images, provide popular  techniques for incorporating both local geometry and global topology into machine  learning. Our meta-hypothesis is that the short bars are as important as the long  bars for many machine learning tasks. In defense of this claim, we survey  applications of persistent homology to shape recognition, agent-based modeling,  materials science, archaeology, and biology. Additionally, we survey work  connecting persistent homology to geometric features of spaces, including  curvature and fractal dimension, and various methods that have been used to  incorporate persistent homology into machine learning.;Adams et Moy - 2021 - Topology Applied to Machine Learning From Global .txt
ZGC8RXU3;journalArticle;2022;"Emmitt, Joshua; Masoud-Ansari, Sina; Phillipps, Rebecca; Middleton, Stacey; Graydon, Jennifer; Holdaway, Simon";Machine learning for stone artifact identification: Distinguishing worked stone artifacts from natural clasts using deep neural networks.;PloS one;Stone artifacts are often the most abundant class of objects found in archaeological sites but their consistent identification is limited by the number  of experienced analysts available. We report a machine learning based technology  for stone artifact identification as part of a solution to the lack of such  experts directed at distinguishing worked stone objects from naturally occurring  lithic clasts. Three case study locations from Egypt, Australia, and New Zealand  provide a data set of 6769 2D images, 3868 flaked artifact and 2901 rock images  used to train and test a machine learning model based on an openly available  PyTorch implementation of Faster R-CNN ResNet 50. Results indicate 100% agreement  between the model and original human derived classifications, a better  performance than the results achieved independently by two human analysts who  reassessed the 2D images available to the machine learning model. Machine  learning neural networks provide the potential to consistently assess the  composition of large archaeological assemblages composed of objects modified in a  variety of ways.;Emmitt et al. - 2022 - Machine learning for stone artifact identification.txt
BBG9726I;journalArticle;2021;"Elliot, Tom; Morse, Robert; Smythe, Duane; Norris, Ashley";Evaluating machine learning techniques for archaeological lithic sourcing: a case study of flint in Britain.;Scientific reports;It is 50 years since Sieveking et al. published their pioneering research in Nature on the geochemical analysis of artefacts from Neolithic flint mines in  southern Britain. In the decades since, geochemical techniques to source stone  artefacts have flourished globally, with a renaissance in recent years from new  instrumentation, data analysis, and machine learning techniques. Despite the  interest over these latter approaches, there has been variation in the quality  with which these methods have been applied. Using the case study of flint  artefacts and geological samples from England, we present a robust and objective  evaluation of three popular techniques, Random Forest, K-Nearest-Neighbour, and  Support Vector Machines, and present a pipeline for their appropriate use. When  evaluated correctly, the results establish high model classification performance,  with Random Forest leading with an average accuracy of 85% (measured through F1  Scores), and with Support Vector Machines following closely. The methodology  developed in this paper demonstrates the potential to significantly improve on  previous approaches, particularly in removing bias, and providing greater means  of evaluation than previously utilised.;s41598-021-87834-3.txt
RXIXETT7;journalArticle;2021;"Vos, Daniella; Stafford, Richard; Jenkins, Emma L.; Garrard, Andrew";A model based on Bayesian confirmation and machine learning algorithms to aid archaeological interpretation by integrating incompatible data.;PloS one;The interpretation of archaeological features often requires a combined methodological approach in order to make the most of the material record,  particularly from sites where this may be limited. In practice, this requires the  consultation of different sources of information in order to cross validate  findings and combat issues of ambiguity and equifinality. However, the  application of a multiproxy approach often generates incompatible data, and might  therefore still provide ambiguous results. This paper explores the potential of a  simple digital framework to increase the explanatory power of multiproxy data by  enabling the incorporation of incompatible, ambiguous datasets in a single model.  In order to achieve this, Bayesian confirmation was used in combination with  decision trees. The results of phytolith and geochemical analyses carried out on  soil samples from ephemeral sites in Jordan are used here as a case study. The  combination of the two datasets as part of a single model enabled us to refine  the initial interpretation of the use of space at the archaeological sites by  providing an alternative identification for certain activity areas. The potential  applications of this model are much broader, as it can also help researchers in  other domains reach an integrated interpretation of analysis results by combining  different datasets.;Vos et al. - 2021 - A model based on Bayesian confirmation and machine.txt
DGPTQ7JZ;journalArticle;2022;"Štular, Benjamin; Lozi?, Edisa; Belak, Mateja; Rihter, Jernej; Koch, Iris; Modrijan, Zvezdana; Magdi?, Andrej; Karl, Stephan; Lehner, Manfred; Gutjahr, Christoph";Migration of Alpine Slavs and machine learning: Space-time pattern mining of an archaeological data set.;PloS one;"The rapid expansion of the Slavic speakers in the second half of the first millennium CE remains a controversial topic in archaeology, and academic passions  on the issue have long run high. Currently, there are three main hypotheses for  this expansion. The aim of this paper was to test the so-called \hybrid  hypothesis,\"" which states that the movement of people, cultural diffusion and  language diffusion all occurred simultaneously. For this purpose, we examined an  archaeological Deep Data set with a machine learning method termed time series  clustering and with emerging hot spot analysis. The latter required two  archaeology-specific modifications: The archaeological trend map and the  multiscale emerging hot spot analysis. As a result, we were able to detect two  migrations in the Eastern Alps between c. 500 and c. 700 CE. Based on the  convergence of evidence from archaeology, linguistics, and population genetics,  we have identified the migrants as Alpine Slavs, i.e., people who spoke Slavic  and shared specific common ancestry.""";Štular et al. - 2022 - Migration of Alpine Slavs and machine learning Sp.txt
A6XKGM4V;journalArticle;2019;"Wärmländer, Sebastian K. T. S.; Varul, Liivi; Koskinen, Juuso; Saage, Ragnar; Schlager, Stefan";Estimating the Temperature of Heat-exposed Bone via Machine Learning Analysis of SCI Color Values: A Pilot Study.;Journal of forensic sciences;Determining maximum heating temperatures of burnt bones is a long-standing problem in forensic science and archaeology. In this pilot study, controlled  experiments were used to heat 14 fleshed and defleshed pig vertebrae (wet bones)  and archaeological human vertebrae (dry bones) to temperatures of 400, 600, 800,  and 1000°C. Specular component included (SCI) color values were recorded from the  bone surfaces with a Konica-Minolta cm-2600d spectrophotometer. These color  values were regressed onto heating temperature, using both a traditional linear  model and the k-nearest neighbor (k-NN) machine-learning algorithm. Mean absolute  errors (MAE) were computed for 1000 rounds of temperature prediction. With the  k-NN approach, the median MAE prediction errors were 41.6°C for the entire  sample, and 20.9°C for the subsample of wet bones. These results indicate that  spectrophotometric color measurements combined with machine learning methods can  be a viable tool for estimating bone heating temperature.;1556-4029.13858.txt
D86LUAEU;journalArticle;2022;"Miera, Jan Johannes; Schmidt, Karsten; von Suchodoletz, Hans; Ulrich, Mathias; Werther, Lukas; Zielhofer, Christoph; Ettel, Peter; Veit, Ulrich";Large-scale investigations of Neolithic settlement dynamics in Central Germany based on machine learning analysis: A case study from the Weiße Elster river  catchment.;PloS one;The paper investigates potentials and challenges during the interpretation of prehistoric settlement dynamics based on large archaeological datasets.  Exemplarily, this is carried out using a database of 1365 Neolithic sites in the  Weiße Elster river catchment in Central Germany located between the southernmost  part of the Northern German Plain and the Central Uplands. The recorded sites are  systematically pre-processed with regard to their chronology, functional  interpretation and spatial delineation. The quality of the dataset is reviewed by  analyzing site distributions with respect to field surveys and modern land use.  The Random Forests machine learning algorithm is used to examine the impact of  terrain covariates on the depth of sites and pottery preservation. Neolithic  settlement dynamics are studied using Site Exploitation Territories, and site  frequencies per century are used to compare the intensity of land use with  adjacent landscapes. The results show that the main trends of the Neolithic  settlement dynamics can be derived from the dataset. However, Random Forests  analyses indicate poor pottery preservation in the Central Uplands and a  superimposition of Neolithic sites in the southernmost part of the Northern  German Plain. Throughout the Neolithic the margins between soils on loess and the  Weiße Elster floodplain were continuously settled, whereas only Early and Late  Neolithic land use also extended into the Central Uplands. These settlement  patterns are reflected in the results of the Site Exploitation Territories  analyses and explained with environmental economic factors. Similar with adjacent  landscapes the Middle Neolithic site frequency is lower compared to earlier and  later periods.;Miera et al. - 2022 - Large-scale investigations of Neolithic settlement.txt
LIEKBGPQ;journalArticle;2021;"Klassen, Sarah; Carter, Alison K.; Evans, Damian H.; Ortman, Scott; Stark, Miriam T.; Loyless, Alyssa A.; Polkinghorne, Martin; Heng, Piphal; Hill, Michael; Wijker, Pelle; Niles-Weed, Jonathan; Marriner, Gary P.; Pottier, Christophe; Fletcher, Roland J.";Diachronic modeling of the population within the medieval Greater Angkor Region settlement complex.;Science advances;Angkor is one of the world's largest premodern settlement complexes (9th to 15th centuries CE), but to date, no comprehensive demographic study has been  completed, and key aspects of its population and demographic history remain  unknown. Here, we combine lidar, archaeological excavation data, radiocarbon  dates, and machine learning algorithms to create maps that model the development  of the city and its population growth through time. We conclude that the Greater  Angkor Region was home to approximately 700,000 to 900,000 inhabitants at its  apogee in the 13th century CE. This granular, diachronic, paleodemographic model  of the Angkor complex can be applied to any ancient civilization.;Klassen et al. - 2021 - Diachronic modeling of the population within the m.txt
XIET3N8I;journalArticle;2020;"O'Bryon, Isabelle; Jenson, Sarah C.; Merkley, Eric D.";Flying blind, or just flying under the radar? The underappreciated power of de novo methods of mass spectrometric peptide identification.;Protein science : a publication of the Protein Society;Mass spectrometry-based proteomics is a popular and powerful method for precise and highly multiplexed protein identification. The most common method of  analyzing untargeted proteomics data is called database searching, where the  database is simply a collection of protein sequences from the target organism,  derived from genome sequencing. Experimental peptide tandem mass spectra are  compared to simplified models of theoretical spectra calculated from the  translated genomic sequences. However, in several interesting application areas,  such as forensics, archaeology, venomics, and others, a genome sequence may not  be available, or the correct genome sequence to use is not known. In these cases,  de novo peptide identification can play an important role. De novo methods infer  peptide sequence directly from the tandem mass spectrum without reference to a  sequence database, usually using graph-based or machine learning algorithms. In  this review, we provide a basic overview of de novo peptide identification  methods and applications, briefly covering de novo algorithms and tools, and  focusing in more depth on recent applications from venomics, metaproteomics,  forensics, and characterization of antibody drugs.;O'Bryon et al. - 2020 - Flying blind, or just flying under the radar The .txt
BM2BRNE3;journalArticle;2019;"Cifuentes-Alcobendas, Gabriel; Domínguez-Rodrigo, Manuel";Deep learning and taphonomy: high accuracy in the classification of cut marks made on fleshed and defleshed bones using convolutional neural networks.;Scientific reports;Accurate identification of bone surface modifications (BSM) is crucial for the taphonomic understanding of archaeological and paleontological sites. Critical  interpretations of when humans started eating meat and animal fat or when they  started using stone tools, or when they occupied new continents or interacted  with predatory guilds impinge on accurate identifications of BSM. Until now,  interpretations of Plio-Pleistocene BSM have been contentious because of the high  uncertainty in discriminating among taphonomic agents. Recently, the use of  machine learning algorithms has yielded high accuracy in the identification of  BSM. A branch of machine learning methods based on imaging, computer vision (CV),  has opened the door to a more objective and accurate method of BSM  identification. The present work has selected two extremely similar types of BSM  (cut marks made on fleshed an defleshed bones) to test the immense potential of  artificial intelligence methods. This CV approach not only produced the highest  accuracy in the classification of these types of BSM until present (95% on  complete images of BSM and 88.89% of images of only internal mark features), but  it also has enabled a method for determining which inconspicuous microscopic  features determine successful BSM discrimination. The potential of this method in  other areas of taphonomy and paleobiology is enormous.;s41598-019-55439-6.txt
BVI5S6G5;journalArticle;2021;"Hlad, Marta; Veselka, Barbara; Steadman, Dawnie Wolfe; Herregods, Baptiste; Elskens, Marc; Annaert, Rica; Boudin, Mathieu; Capuzzo, Giacomo; Dalle, Sarah; De Mulder, Guy; Sabaux, Charlotte; Salesse, Kevin; Sengeløv, Amanda; Stamataki, Elisavet; Vercauteren, Martine; Warmenbol, Eugène; Tys, Dries; Snoeck, Christophe";Revisiting metric sex estimation of burnt human remains via supervised learning using a reference collection of modern identified cremated individuals  (Knoxville, USA).;American journal of physical anthropology;OBJECTIVES: This study aims to increase the rate of correctly sexed calcined individuals from archaeological and forensic contexts. This is achieved by  evaluating sexual dimorphism of commonly used and new skeletal elements via uni-  and multi-variate metric trait analyses. MATERIALS AND METHODS: Twenty-two  skeletal traits were evaluated in 86 individuals from the William M. Bass donated  cremated collection of known sex and age-at-death. Four different predictive  models, logistic regression, random forest, neural network, and calculation of  population specific cut-off points, were used to determine the classification  accuracy (CA) of each feature and several combinations thereof. RESULTS: An  overall CA of ? 80% was obtained for 12 out of 22 features (humerus trochlea  max., and lunate length, humerus head vertical diameter, humerus head transverse  diameter, radius head max., femur head vertical diameter, patella width, patella  thickness, and talus trochlea length) using univariate analysis. Multivariate  analysis showed an increase of CA (? 95%) for certain combinations and models  (e.g., humerus trochlea max. and patella thickness). Our study shows metric  sexual dimorphism to be well preserved in calcined human remains, despite the  changes that occur during burning. CONCLUSIONS: Our study demonstrated the  potential of machine learning approaches, such as neural networks, for  multivariate analyses. Using these statistical methods improves the rate of  correct sex estimations in calcined human remains and can be applied to highly  fragmented unburnt individuals from both archaeological and forensic contexts.;ajpa.24270.txt
CE8G49N6;journalArticle;2020;"Naito, Yuichi I.; Yamane, Masako; Kitagawa, Hiroyuki";A protocol for using attenuated total reflection Fourier-transform infrared spectroscopy for pre-screening ancient bone collagen prior to radiocarbon dating.;Rapid communications in mass spectrometry : RCM;RATIONALE: Pre-screening of bone collagen quality is important to reduce the cost for analyses such as radiocarbon ((14) C) dating with accelerator mass  spectrometry in archaeological studies. We developed a pre-screening protocol  based on attenuated total reflection (ATR) Fourier-transform infrared  spectroscopy (FTIR) for assessing the chemical composition and mineralogy of  ancient bone samples. METHODS: ATR-FTIR measurements were performed on bulk bones  of diverse origin and age before collagen extraction. The percentage nitrogen of  bulk bones, as well as the weight percentage, and the percentage carbon and  nitrogen of extracted organic matter were noted. Several machine learning  algorithms were applied to the spectral data and compared for their efficacy in  screening for well preserved collagen. RESULTS: The results showed that (a) the  first derivative of the spectral data was better suited to screening than the raw  FTIR data, especially for a wider spectral range and (b) certain classification  algorithms [e.g. gradient boosting machine (GBM)] were able to efficiently  predict the degree of preservation in bone samples. CONCLUSIONS: This  pre-screening protocol can serve as a fast, concise and inexpensive pre-screening  tool for determining relative degrees of preservation before collagen extraction  and subsequent (14) C dating. The screening power based on the machine learning  techniques can be further improved by accumulating the FTIR spectral data of  bones.;rcm.8720.txt
AMZA8CLF;journalArticle;2022;"Viertel, P; Konig, M";Pattern recognition methodologies for pollen grain image classification: a survey;MACHINE VISION AND APPLICATIONS;In a large number of scientific areas, such as immunology, forensics, paleoecology, and archeology, the study of pollen, i.e., palynology, plays an important role: from tracking climate changes, studying allergies, to forensic investigations or honey origin analysis. Since the mid-nineties of the last century, the idea for an automated solution to the problem of pollen identification and classification was formulated and since then, several attempts and proposals have been made and presented, based on different technologies, in particular in the field of Computer Vision. However, as of 2021 microscopic analyses are performed mainly manually by highly trained specialists, although the capabilities of artificial intelligence, especially Deep Neural Networks, are steadily increasing. In this work, we analyzed various state-of-the-art research work concerning pollen detection and classification and compared their methods and results. The problems, such as data accessibility, different methods of Machine Learning, and the intended applicability of the proposed solutions are explored. We also identified crucial issues that require further work and research. Our work will provide a thorough view on the current state of the art, its issues, and possibilities for the future.;Viertel et Konig - 2022 - Pattern recognition methodologies for pollen grain.txt
FNT2FS66;journalArticle;2019;"Toth, L; Vidacs, L";Study of the Performance of Various Classifiers in Labeling Non- Functional Requirements;INFORMATION TECHNOLOGY AND CONTROL;Software systems are to be developed based on expectations of the customers. These expectations are expressed using natural languages. To design software meeting the needs of the customer and the stakeholders, the intentions, feedback and reviews are to be understood accurately and without ambiguity. These textual inputs often contain inaccuracies, contradictions and are seldom given in a well-structured form. The issues mentioned in the previous thought frequently result in the program not satisfying the expectation of the stakeholders. In particular, for non-functional requirements, clients rarely emphasize these specifications as much as they might be justified. Identifying, classifying and reconciling the requirements is one of the main duty of the System Analyst, which without using a proper tool, can be very demanding and time-consuming. Tools which support text processing are expected to improve the accuracy of identification and classification of requirements even in an unstructured set of inputs. System Analysts can also use them in document archeology tasks where many documents, regulations, standards, etc. have to be processed. Methods elaborated in natural language processing and machine learning offer a solid basis. However, their usability and the possibility to improve the performance utilizing the specific knowledge from the domain of the software engineering are to be examined thoroughly. In this paper, we present the results of our work adapting natural language processing and machine learning methods for handling and transforming textual inputs of software development. The major contribution of our work is providing a comparison of the performance and applicability of the stateof-the-art techniques used in natural language processing and machine learning in software engineering. Based on the results of our experiments, tools which can support System Analysts working on textual inputs can be designed.;Toth et Vidacs - 2019 - Study of the Performance of Various Classifiers in.txt
XHYYIG55;journalArticle;2021;"Bertrand, L; Thoury, M; Gueriau, P; Anheim, E; Cohen, S";Deciphering the Chemistry of Cultural Heritage: Targeting Material Properties by Coupling Spectral Imaging with Image Analysis;ACCOUNTS OF CHEMICAL RESEARCH;CONSPECTUS: The chemical study of materials from natural history and cultural heritage, which provide information for art history, archeology, or paleontology, presents a series of specific challenges. The complexity of these ancient and historical materials, which are chemically heterogeneous, the product of alteration processes, and inherently not reproducible, is a major obstacle to a thorough understanding of their making and long-term behavior (e.g., fossilization). These challenges required the development of methodologies and instruments coupling imaging and data processing approaches that are optimized for the specific properties of the materials. This Account discusses how these characteristics not only constrain their study but also open up specific innovative avenues for providing key historical information. Synchrotron methods have extensively been used since the late 1990s to study heritage objects, in particular for their potential to provide speciation information from excitation spectroscopies and to image complex heritage objects and samples in two and three dimensions at high resolution. We examine in practice how the identification of key intrinsic chemical specificities has offered fertile ground for the development of novel synchrotron approaches allowing a better stochastic description of the properties of ancient and historical materials. These developments encompass three main aspects: (1) The multiscale heterogeneity of these materials can provide an essential source of information in the development of probes targeting their multiple scales of homogeneity. (2) Chemical alteration can be described in many ways, e.g., by segmenting datasets in a semiquantitative way to jointly inform morphological and chemical transformation pathways. (3) The intrinsic individuality of chemical signatures in artifacts triggers the development of specific strategies, such as those focusing on weak signal detection. We propose a rereading of the advent of these new methodologies for analysis and characterization and examine how they have led to innovative strategies combining materials science, instrument development, history, and data science. In particular, we show that spectral imaging and the search for correlations in image datasets have provided a powerful way to address what archeologists have called the uncertainty and ambiguity of the material record. This approach has implications beyond synchrotron techniques and extends in particular to a series of rapidly developing approaches that couple spectral and spatial information, as in hyperspectral imaging and spatially resolved mass spectrometry. The preeminence of correlations holds promise for the future development of machine learning methods for processing data on historical objects. Beyond heritage, these developments are an original source of inspiration for the study of materials in many related fields, such as environmental, geochemical, or life sciences, which deal with systems whose alteration and heterogeneity cannot be neglected.;Bertrand et al. - 2021 - Deciphering the Chemistry of Cultural Heritage Ta.txt
SI94JY7J;journalArticle;1997;"Nguifo, EM; Lagrange, MS; Renaud, M; Sallantin, J";PLATA: An application of LEGAL, a machine learning based system, to a typology of archaeological ceramics;COMPUTERS AND THE HUMANITIES;The authors here show that machine learning techniques can be used for designing an archaeological typology, at an early stage when the classes are not yet well defined. The program (LEGAL, LEarning with GAlois Lattice) is a machine learning system which uses a set of examples and counter-examples in order to discriminate between classes. Results show a good compatibility between the classes such as they are defined by the system and the archaeological hypotheses.;Nguifo et al. - 1997 - PLATA An application of LEGAL, a machine learning.txt
